course_id,course_name,description_clean,keywords,industry,level
2802,Automated Science Internship,This course is for MSAS students interested in taking an internship for credit. This must be approved through the MSAS Directors.,"['automated', 'science', 'internship', 'through', 'directors']",computer science & engineering,intermediate
57386,Collaborative Piano VI,"These are a series of courses which allow the student the opportunity to accumulate experience in a professional setting with students and faculty. The pianist will be assigned to a voice studio(s) and play for students and their professional mentors, supervised by a Collaborative Piano faculty member. Assignments may include playing voice juries. This course is open to Music Majors and Non-Music Majors, based upon a mandatory audition prior to approval.","['collaborative piano', 'professional experience', 'voice studio', 'student-faculty interaction', 'audition', 'music majors', 'non-music majors', 'voice juries']",arts & culture,intermediate
21127,Concepts of Mathematics,"This course introduces the basic concepts, ideas and tools involved in doing mathematics. As such, its main focus is on presenting informal logic, and the methods of mathematical proof. These subjects are closely related to the application of mathematics in many areas, particularly computer science. Topics discussed include a basic introduction to elementary number theory, induction, the algebra of sets, relations, equivalence relations, congruences, partitions, and functions, including injections, surjections, and bijections. A basic introduction to the real numbers, rational and irrational numbers. Supremum and infimum of a set. (Three 50 minute lectures, two 50 minute recitations)","['mathematics', 'basic concepts', 'mathematical proof', 'elementary number theory', 'induction', 'algebra of sets', 'relations', 'equivalence relations', 'congruences', 'partitions']",mathematics,intro
54765,Dance/Light,A practical application of the knowledge and skills learned in Dance Lighting Design 1+2. The class shares the experience of each student creating the lighting for at least one dance performance piece in the Dance/Light Concert.,"['dance', 'lighting design', 'practical application', 'dancelight concert', 'performance', 'student creation']",arts & culture,advanced
93814,Galleries and Auction Houses,"This course explores the structures and dynamics of the for-profit art economy. Topics will include an exploration of various business structures and common practices within the for-profit art world, covering both primary and secondary markets. Students will examine galleries, auction houses, dealers, consultants, and emerging digital platforms while building an understanding of how the art market functions, how art is valued, and how innovation and ethics shape business models. Through case studies, guest speakers, and experiential learning, students will gain a nuanced understanding of art market systems and develop their own creative venture proposals.","['art economy', 'business structures', 'art valuation', 'innovation', 'ethics', 'business models', 'case studies']",business & management,advanced
93721,Arts Management & Intellectual Property,"Spring 2026 dates: Dates are January 24 and February 7th From 10:00 -3:00pm. Introduction to Intellectual Property for Arts Managers will introduce important concepts in trademark and copyright law. A significant portion of the class will focus on copyright, with the goal of developing an understanding of the scope of rights, exceptions, and fair use. The class will also explore Creative Commons licenses, considerations related to traditional cultural expressions, and touch on the evolving discourse on intellectual property and artificial intelligence.","['intellectual property', 'arts management', 'copyright law', 'trademark law', 'creative commons', 'traditional cultural expressions', 'intellectual property rights', 'artifics managers', 'artificial intelligence']",public policy & social sciences,advanced
93807,Museum Operations,"Museums aim to preserve, present, and interpret arts, culture, science, history, and heritage for the intended benefit of the public and society, as well as to create a forum for communities. All museumsregardless of type, size, and budgetface similar operational challenges (as well their own respective set of complications), which must be managed by stakeholders dedicated to executing mission and goals. In this course, students will gain a practical understanding of museum operations and the unique and multifaceted challenges of modern museum management. The course emphasizes museum standards and best practices, as well as identifies resources both within and adjacent to the industry. Cross-cutting topics, which build upon MAM first year coursework, include governance, financial sustainability, facilities, administration, visitor engagement and education, and collection stewardship. Additionally, case studies (via assignments and class discussion) address complexities in the museum field today, such as diversity, equity, and inclusion in museum leadership, issues in collections ethics, toxic philanthropy, and risk management. Assignments focus heavily on real-world challenges, requiring practical interpretation and implementation. .","['museum operations', 'preservation', 'arts', 'culture', 'science', 'history', 'heritage', 'public benefit', 'community forum', 'operational challenges']",public policy & social sciences,advanced
93812,Presenting Performing Arts,"Presenters are cultural entities that facilitate exchange between audiences and artists through performance opportunities and educational experiences. Festivals are key components of this industry, offering unique operational opportunities and demanding specific challenges within the field of arts management. This course will cover the fundamental aspects of the performing arts presenting and festival industry in the U.S and abroad. By the end of the course, students will understand the fundamental aspects of the presenting and festival industry, including but not limited to booking/programming a season, artist management, visa/taxes and international presenting, contracts and negotiation, cultural exchange and diplomacy, labor relations, accessibility and inclusion in programming, industry resources and other topics unique to the arts presenting ecosystem....","['presenting performing arts', 'cultural exchange', 'arts management', 'festival industry', 'artist management', 'contracts', 'negotiation', 'accessibility']",arts & culture,advanced
93826,Fundraising & Individual Giving,"Successful fundraising is critical to the effective operations of every nonprofit organization in the United States. This course will introduce students to the context and practice of American philanthropy, the principles of donor-centered fundraising, and the roles and responsibilities of professional fundraisers and fundraising staff in nonprofit arts organizations. The course will begin with a brief history of philanthropy in the United States, its evolution, and the legal framework involved in accepting financial gifts. We will then explore the sources of contributed funds, solicitation strategies, individual motivations to give, effective donor communications, and donor cultivation and stewardship. Special topics will address new and emerging fundraising techniques, ethical issues, and the increased expectations donors have regarding fundraising accountability and engagement in nonprofit organizations.","['fundraising', 'philanthropy', 'donor-centered', 'nonprofit', 'arts', 'contributed funds', 'solicitation', 'donor motivations', 'communications', 'stewardship']",business & management,advanced
93821,Marketing and Audience Engagement,"The success of arts and cultural institutions in the 21st century and beyond will depend upon creative, unconventional and coordinated long-range approaches to communicating with their stakeholders. Communication is a core activity of any arts enterprise. External Relations frames and holds together the brand of all stakeholder communications across earned and contributed income streams (marketing = earned; development = contributed). Today's communication professionals are crucial to their arts organizations; they maintain existing audiences, secure new audiences, create future donors, and create the brand for the institution. They interact with all aspects of the organization, from personnel to fundraising. This course provides readings and professional presentations to guide the understanding of successful marketing and communication, while following a project-based method to allow students to investigate hands-on the opportunities addressing the changes within the arts audience and the shifting digital landscape for marketing the arts in the United States. The focus of the course is marketing and communications within a nonprofit arts organization, while recognizing that the audience doesn't typically distinguish the difference; yet, due to budget and purpose, marketing not-for-profit arts organizations is significantly different as compared to a for-profit entertainment venture. This course will provide each student with marketing principles and theories as well as opportunities to actualize theories with assignments and a final project utilizing current technologies. The course requires active, practical engagement and intellectual rigor.","['audience engagement', 'communication strategies', 'nonprofit arts', 'stakeholder communication', 'marketing principles', 'hands-on experience extract']",business & management,advanced
